"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","T_4","ASIC_4_Status","ASIC_4","Fan_1","Fan_2"
"2018-06-17 17:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 18:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 18:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 19:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 19:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 20:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 20:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 21:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 21:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 22:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-17 23:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 01:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 01:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 02:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 02:30:10","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 03:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 04:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 04:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 05:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 06:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 06:30:10","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 07:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 07:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 08:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 08:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 09:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 10:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 10:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 11:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 11:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 12:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 12:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 13:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 13:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 14:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 14:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 15:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 15:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 16:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 16:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 17:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 17:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 18:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 18:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 19:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 19:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 20:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 20:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 21:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 21:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 22:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-18 23:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 01:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 01:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 02:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 02:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 03:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 04:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 04:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 05:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 06:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 06:30:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 07:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 07:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 08:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 08:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 10:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 10:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 11:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 11:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 12:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 12:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 13:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 13:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 14:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 14:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 15:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 15:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 16:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 16:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 17:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 17:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 18:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 18:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 19:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 19:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 20:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 20:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 21:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 21:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 22:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-19 23:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-20 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
