"TimeStamp","Host","Uptime","HashRate"
"2018-05-10 02:30:11","m01","437.48","4729.8"
"2018-05-10 03:00:11","m01","437.98","4726.7"
"2018-05-10 03:30:11","m01","438.48","4729.3"
"2018-05-10 04:00:11","m01","438.98","4729.4"
"2018-05-10 04:30:10","m01","439.48","4727"
"2018-05-10 05:00:11","m01","439.98","4728.7"
"2018-05-10 05:30:11","m01","440.48","4729.9"
"2018-05-10 06:00:11","m01","440.98","4725.1"
"2018-05-10 06:30:10","m01","441.48","4730.2"
"2018-05-10 07:00:11","m01","441.98","4731.7"
"2018-05-10 07:30:11","m01","442.48","4726.5"
"2018-05-10 08:00:11","m01","442.98","4728.5"
"2018-05-10 08:30:11","m01","443.48","4731.1"
"2018-05-10 09:00:11","m01","443.98","4697.3"
"2018-05-10 09:30:11","m01","444.48","4731.6"
"2018-05-10 10:00:11","m01","444.98","4720.3"
"2018-05-10 10:30:11","m01","445.48","4730.3"
"2018-05-10 11:00:11","m01","445.98","4725.1"
"2018-05-10 11:30:11","m01","446.48","4725.7"
"2018-05-10 12:00:11","m01","446.98","4731.2"
"2018-05-10 12:30:11","m01","447.48","4729.9"
"2018-05-10 13:00:11","m01","447.98","4720.5"
"2018-05-10 13:30:11","m01","448.48","4731.4"
"2018-05-10 14:00:11","m01","448.98","4720.6"
"2018-05-10 14:30:12","m01","449.48","4736.3"
"2018-05-10 15:00:11","m01","449.98","4679.2"
"2018-05-10 15:30:11","m01","450.48","4731.8"
"2018-05-10 16:00:11","m01","450.98","4731.8"
"2018-05-10 16:30:11","m01","451.48","4726.4"
"2018-05-10 17:00:11","m01","451.98","4729.5"
"2018-05-10 17:30:11","m01","452.48","4720.7"
"2018-05-10 18:00:11","m01","452.98","4734.3"
"2018-05-10 18:30:11","m01","453.48","4727.8"
"2018-05-10 19:00:11","m01","453.98","4733.7"
"2018-05-10 19:30:11","m01","454.48","4730.7"
"2018-05-10 20:00:11","m01","454.98","4732.3"
"2018-05-10 20:30:11","m01","455.48","4705.7"
"2018-05-10 21:00:11","m01","455.98","4731"
"2018-05-10 21:30:11","m01","456.48","4732"
"2018-05-10 22:00:11","m01","456.98","4734"
"2018-05-10 22:30:11","m01","457.48","4732.1"
"2018-05-10 23:00:11","m01","457.98","4729.9"
"2018-05-10 23:30:11","m01","458.48","4727"
"2018-05-11 00:00:11","m01","458.98","4732.5"
"2018-05-11 00:30:11","m01","459.48","4729.6"
"2018-05-11 01:00:12","m01","459.98","4735.4"
"2018-05-11 01:30:11","m01","460.48","4730.6"
"2018-05-11 02:00:11","m01","460.98","4732.1"
"2018-05-11 02:30:11","m01","461.48","4722.9"
"2018-05-11 03:00:11","m01","461.98","4679.9"
"2018-05-11 03:30:11","m01","462.48","4730.1"
"2018-05-11 04:00:11","m01","462.98","4730.1"
"2018-05-11 04:30:11","m01","463.48","4705"
"2018-05-11 05:00:11","m01","463.98","4728"
"2018-05-11 05:30:11","m01","464.48","4726.2"
"2018-05-11 06:00:11","m01","464.98","4735.6"
"2018-05-11 06:30:11","m01","465.48","4719.6"
"2018-05-11 07:00:11","m01","465.98","4720.3"
"2018-05-11 07:30:11","m01","466.48","4729.7"
"2018-05-11 08:00:12","m01","466.98","4735.2"
"2018-05-11 08:30:11","m01","467.48","4719.7"
"2018-05-11 09:00:11","m01","467.98","4730.3"
"2018-05-11 09:30:12","m01","468.48","4735.9"
"2018-05-11 10:00:11","m01","468.98","4733"
"2018-05-11 10:30:11","m01","469.48","4730.2"
"2018-05-11 11:00:11","m01","469.98","4719.3"
"2018-05-11 11:30:11","m01","470.48","4731.7"
"2018-05-11 12:00:11","m01","470.98","4732.8"
"2018-05-11 12:30:11","m01","471.48","4732"
"2018-05-11 13:00:11","m01","471.98","4734.7"
"2018-05-11 13:30:11","m01","472.48","4731.9"
"2018-05-11 14:00:11","m01","472.98","4687.8"
"2018-05-11 14:30:11","m01","473.48","4714.8"
"2018-05-11 15:00:11","m01","473.98","4682"
"2018-05-11 15:30:11","m01","474.48","4731.3"
"2018-05-11 16:00:10","m01","474.98","4714.1"
"2018-05-11 16:30:11","m01","475.48","4730.2"
"2018-05-11 17:00:11","m01","475.98","4732.7"
"2018-05-11 17:30:11","m01","476.48","4731.8"
"2018-05-11 18:00:11","m01","476.98","4735"
"2018-05-11 18:30:11","m01","477.48","4721.1"
"2018-05-11 19:00:09","m01","477.98","4730.3"
"2018-05-11 19:30:11","m01","478.48","4729.8"
"2018-05-11 20:00:11","m01","478.98","4722.5"
"2018-05-11 20:30:11","m01","479.48","4730.3"
"2018-05-11 21:00:11","m01","479.98","4731.1"
"2018-05-11 21:30:11","m01","480.48","4729.4"
"2018-05-11 22:00:11","m01","480.98","4728.9"
"2018-05-11 22:30:11","m01","481.48","4730.6"
"2018-05-11 23:00:11","m01","481.98","4729.4"
