"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","Fan_1","Fan_2"
"2018-07-03 00:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 01:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 01:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 02:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 02:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 03:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 03:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 04:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 04:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 05:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 05:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 06:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 06:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 07:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 07:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 08:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 08:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 09:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 09:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 10:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 10:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 11:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 11:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 12:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 12:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 13:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 13:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 14:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 14:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 15:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 15:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 16:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 16:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 17:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 17:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 18:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 18:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 19:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 19:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 20:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 20:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 21:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 21:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 22:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 22:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 23:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-03 23:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 00:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 00:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 01:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 01:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 02:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 02:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 03:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 03:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 04:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 04:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 05:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 05:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 06:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 06:40:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 07:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 07:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 08:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 08:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 09:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 09:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 10:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 10:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 11:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 11:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 12:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 12:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 13:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 13:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-04 14:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
